a,1
a,1
aa,1
aal,1
aalii,0
aam,0
aani,1
aardvark,1
aardwolf,2
aaron,1
aaronic,1
aaronical,1
aaronite,0
aaronitic,1
aaru,0
ab,7
aba,4
ababdeh,3
ababua,5
abac,10
abaca,5
abacate,0
abacay,4
abacinate,0
abacination,1
abaciscus,2
abacist,2
aback,11
abactinal,1
abactinally,1
abaction,1
abactor,3
abaculus,4
abacus,6
abadite,3
abaff,10
abaft,9
abaisance,1
abaiser,2
abaissed,3
abalienate,1
abalienation,0
abalone,4
abama,2
abampere,2
abandon,2
abandonable,1
abandoned,1
abandonedly,1
abandonee,1
abandoner,1
abandonment,1
abanic,2
abantes,1
abaptiston,1
abarambo,3
abaris,4
abarthrosis,3
abarticular,1
abarticulation,1
abas,6
abase,6
abased,2
abasedly,2
abasedness,1
abasement,1
abaser,1
abasgi,2
abash,6
abashed,2
abashedly,2
abashedness,2
abashless,2
abashlessly,2
abashment,0
abasia,7
abasic,3
abask,7
abassin,6
abastardize,2
abatable,0
abate,4
abatement,3
abater,0
abatis,5
abatised,3
abaton,2
abator,3
abattoir,3
abatua,5
abature,4
abave,4
abaxial,2
abaxile,4
abaze,5
abb,10
abba,7
abbacomes,4
abbacy,9
abbadide,6
abbas,3
abbasi,5
abbassi,1
abbasside,3
abbatial,3
abbatical,1
abbess,5
abbey,9
abbeystede,0
abbie,4
abbot,7
abbotcy,5
abbotnullius,1
abbotship,6
abbreviate,1
abbreviately,2
abbreviation,0
abbreviator,1
abbreviatory,0
abbreviature,0
abby,11
abcoulomb,5
abdal,4
abdat,5
abderian,3
abderite,3
abdest,0
abdicable,0
abdicant,4
abdicate,2
abdication,3
abdicative,0
abdicator,2
abdiel,4
abditive,0
abditory,1
abdomen,3
abdominal,2
abdominales,1
abdominalian,2
abdominally,3
abdominoanterior,1
abdominocardiac,1
abdominocentesis,0
abdominocystic,1
abdominogenital,0
abdominohysterectomy,0
abdominohysterotomy,0
abdominoposterior,0
abdominoscope,1
abdominoscopy,1
abdominothoracic,1
abdominous,3
abdominovaginal,0
abdominovesical,0
abduce,6
abducens,3
abducent,4
abduct,6
abduction,1
abductor,4
abe,5
abeam,5
abear,3
abearance,0
abecedarian,3
abecedarium,3
abecedary,4
abed,7
abeigh,3
abel,1
abele,1
abelia,2
abelian,2
abelicea,4
abelite,2
abelite,2
abelmoschus,2
abelmosk,3
abelonian,2
abeltree,0
abencerrages,0
abenteric,1
abepithymia,2
aberdeen,2
aberdevine,0
aberdonian,7
aberia,0
aberrance,0
aberrancy,0
aberrant,2
aberrate,2
aberration,0
aberrational,0
aberrator,0
aberrometer,0
aberroscope,0
aberuncator,0
abet,4
abetment,3
abettal,1
abettor,2
abevacuation,1
abey,8
abeyance,1
abeyancy,1
abeyant,3
abfarad,2
abhenry,2
abhiseka,2
abhominable,0
abhor,5
abhorrence,3
abhorrency,1
abhorrent,5
abhorrently,2
abhorrer,6
abhorrible,1
abhorring,3
abhorson,3
abidal,7
abidance,1
abide,3
abider,2
abidi,3
abiding,3
abidingly,2
abidingness,1
abie,3
abies,4
